chrA	posA	chrB	posB	contactCount	p.value	q.value	interactionID	interactionID_final
10	100515000	15	71455000	5	2.097017e-16	3.081624e-09	interaction_393	interaction_1
3	52755000	10	102475000	5	3.071407e-16	4.013916e-09	interaction_1646	interaction_2
3	50495000	10	1035000	5	3.253104e-16	4.194828e-09	interaction_1958	interaction_3
10	103175000	17	38055000	5	9.692292e-16	8.937902e-09	interaction_2083	interaction_4
10	103255000	15	70445000	5	2.737755e-16	3.7022e-09	interaction_2148	interaction_5
10	10345000	22	39995000	5	5.032691e-16	5.653894e-09	interaction_2271	interaction_6
3	110875000	10	103845000	5	5.839682e-16	6.269305e-09	interaction_2592	interaction_7
7	124055000	10	103915000	7	4.123403e-23	7.953352e-15	interaction_2659	interaction_8
7	95405000	10	104495000	5	5.829296e-16	6.261071e-09	interaction_3003	interaction_9
10	104535000	17	69015000	5	7.475214e-17	1.491777e-09	interaction_3036	interaction_10
4	81145000	10	104945000	6	1.18005e-18	5.936266e-11	interaction_3346	interaction_11
4	63635000	10	106285000	5	2.82495e-17	7.386482e-10	interaction_4212	interaction_12
4	102605000	10	106385000	5	1.008163e-16	1.839881e-09	interaction_4288	interaction_13
6	99635000	10	106815000	5	9.08166e-16	8.54165e-09	interaction_4641	interaction_14
3	80895000	10	10705000	5	6.399184e-16	6.67715e-09	interaction_4754	interaction_15
10	107625000	20	10825000	5	7.046813e-16	7.153746e-09	interaction_5302	interaction_16
10	107975000	13	85775000	6	8.424147e-17	1.624197e-09	interaction_5576	interaction_17
8	123375000	10	108985000	5	3.066485e-16	4.010274e-09	interaction_6432	interaction_18
10	109325000	12	120365000	5	5.776912e-17	1.246188e-09	interaction_6710	interaction_19
2	236995000	10	109705000	5	2.431178e-16	3.416923e-09	interaction_7079	interaction_20
5	67355000	10	110555000	5	5.895832e-16	6.307552e-09	interaction_7822	interaction_21
4	97295000	10	110675000	5	4.166774e-16	4.984029e-09	interaction_7932	interaction_22
4	138525000	10	111315000	5	1.049252e-15	9.460116e-09	interaction_8383	interaction_23
5	100915000	10	111585000	5	6.002164e-16	6.384269e-09	interaction_8612	interaction_24
10	111875000	13	32025000	5	7.064543e-16	7.168588e-09	interaction_8782	interaction_25
10	111985000	11	85505000	5	5.955471e-16	6.346319e-09	interaction_8859	interaction_26
10	11205000	14	77645000	5	3.542507e-16	4.434243e-09	interaction_8891	interaction_27
8	119305000	10	112495000	7	2.937109e-20	2.665316e-12	interaction_9170	interaction_28
10	11365000	15	26835000	5	1.200376e-16	2.074849e-09	interaction_9870	interaction_29
6	72405000	10	114195000	5	9.237306e-17	1.731912e-09	interaction_10318	interaction_30
5	90765000	10	114385000	5	3.3054e-16	4.242091e-09	interaction_10480	interaction_31
4	120395000	10	114395000	7	6.087298e-21	6.811137e-13	interaction_10484	interaction_32
10	114475000	21	46525000	5	1.567603e-16	2.493619e-09	interaction_10571	interaction_33
2	235735000	10	114515000	5	2.177068e-16	3.159975e-09	interaction_10605	interaction_34
10	11505000	12	54705000	5	8.010476e-18	2.774422e-10	interaction_10897	interaction_35
10	11505000	13	53135000	5	6.746175e-17	1.393335e-09	interaction_10898	interaction_36
10	115185000	18	25125000	5	5.098313e-16	5.711484e-09	interaction_11027	interaction_37
5	42515000	10	115325000	5	4.083888e-16	4.91859e-09	interaction_11106	interaction_38
6	11195000	10	115335000	6	1.183994e-20	1.212912e-12	interaction_11110	interaction_39
10	115595000	15	100425000	5	3.456497e-17	8.490331e-10	interaction_11273	interaction_40
2	65685000	10	115625000	5	3.959974e-16	4.805242e-09	interaction_11311	interaction_41
2	211705000	10	115875000	5	2.856534e-16	3.81913e-09	interaction_11477	interaction_42
5	163575000	10	1165000	5	8.446468e-16	8.12212e-09	interaction_11621	interaction_43
5	178435000	10	116365000	5	2.362316e-16	3.341534e-09	interaction_11895	interaction_44
6	50015000	10	116655000	5	1.527038e-16	2.446202e-09	interaction_12130	interaction_45
10	1175000	18	72675000	5	8.72178e-17	1.665559e-09	interaction_12480	interaction_46
6	83185000	10	117055000	5	1.013799e-15	9.233131e-09	interaction_12512	interaction_47
4	180925000	10	117275000	6	8.00202e-17	1.567059e-09	interaction_12744	interaction_48
10	117305000	15	64375000	5	2.284124e-18	1.014413e-10	interaction_12762	interaction_49
10	117405000	16	80475000	5	5.517806e-16	6.013375e-09	interaction_12856	interaction_50
2	170765000	10	117585000	6	2.912033e-17	7.497745e-10	interaction_13019	interaction_51
10	117725000	19	42035000	5	7.382495e-16	7.400005e-09	interaction_13165	interaction_52
10	117925000	17	31025000	5	4.894986e-16	5.555252e-09	interaction_13372	interaction_53
3	156935000	10	118125000	5	5.540067e-16	6.034782e-09	interaction_13547	interaction_54
9	116715000	10	118605000	5	1.000077e-16	1.830922e-09	interaction_13866	interaction_55
3	43295000	10	118865000	5	7.563097e-16	7.517288e-09	interaction_14049	interaction_56
10	119355000	11	7505000	5	2.223127e-17	6.129433e-10	interaction_14396	interaction_57
10	120035000	18	38135000	5	1.046181e-15	9.447202e-09	interaction_14890	interaction_58
6	92755000	10	120145000	6	2.922631e-17	7.510068e-10	interaction_14993	interaction_59
5	104145000	10	120455000	5	3.591562e-16	4.474802e-09	interaction_15197	interaction_60
10	120735000	15	65295000	5	7.373868e-16	7.396182e-09	interaction_15398	interaction_61
10	121865000	14	34105000	5	9.964562e-16	9.11823e-09	interaction_16047	interaction_62
10	122385000	12	13735000	6	6.063391e-17	1.291667e-09	interaction_16422	interaction_63
2	225365000	10	122755000	5	2.981235e-16	3.933421e-09	interaction_16746	interaction_64
5	150485000	10	123135000	5	1.369613e-16	2.281424e-09	interaction_16998	interaction_65
4	29125000	10	123445000	5	5.525284e-16	6.020102e-09	interaction_17197	interaction_66
5	171945000	10	124185000	5	1.199059e-17	3.791188e-10	interaction_17739	interaction_67
10	124405000	18	56855000	5	5.667115e-16	6.128285e-09	interaction_17862	interaction_68
3	51405000	10	124595000	5	2.218705e-16	3.200259e-09	interaction_18015	interaction_69
6	170615000	10	124615000	6	1.290311e-18	6.375367e-11	interaction_18036	interaction_70
6	4525000	10	125175000	6	1.798878e-18	8.393384e-11	interaction_18456	interaction_71
10	125865000	16	63375000	5	7.692944e-17	1.524012e-09	interaction_18861	interaction_72
10	127345000	12	123975000	5	1.703285e-16	2.649118e-09	interaction_19764	interaction_73
10	127805000	17	57435000	5	3.194963e-16	4.138149e-09	interaction_20081	interaction_74
4	84105000	10	127895000	5	1.013662e-15	9.233131e-09	interaction_20156	interaction_75
8	95865000	10	128985000	6	1.171537e-18	5.908839e-11	interaction_20965	interaction_76
7	45495000	10	129125000	6	1.986316e-18	9.125831e-11	interaction_21074	interaction_77
3	19195000	10	12975000	6	1.245785e-17	3.920105e-10	interaction_21515	interaction_78
2	117845000	10	130605000	6	2.256351e-19	1.485938e-11	interaction_22078	interaction_79
9	103385000	10	130645000	5	5.437069e-16	5.957782e-09	interaction_22134	interaction_80
4	5405000	10	13075000	5	9.37926e-17	1.750507e-09	interaction_22169	interaction_81
5	136515000	10	131395000	5	6.046224e-16	6.414853e-09	interaction_22728	interaction_82
2	234355000	10	131885000	5	2.999942e-16	3.945256e-09	interaction_23006	interaction_83
10	131895000	12	131845000	5	2.580558e-16	3.552145e-09	interaction_23010	interaction_84
10	13195000	16	88655000	5	9.103985e-16	8.553405e-09	interaction_23016	interaction_85
10	134585000	12	131615000	5	6.335825e-17	1.330144e-09	interaction_24310	interaction_86
